mahalle_temiz
1 (agilbasi koyu)
1 (bahce koyu)
1 (cobanlar koyu)
1 (yuva koyu)
1 kume (agilli koyu)
1 kume (topac koyu)
1 nolu besirli
1 nolu bostanci
1 nolu erdogdu
1. kume (akpinar koyu)
1. kume (guzelsu koyu)
1.anafartalar
1.ci kume (cardak koyu)
1.gundogan
1.kadriye
1.kume (alakir koyu)
1.kume (catalagzi koyu)
1.kume (cavusin koyu)
1.kume (cemalettin koyu)
1.kume (saka koyu)
1.kume (uckuyu koyu)
1.kume evler (orhanli koyu)
1.mezra (bulanik koyu)
1.orucgazi
1.osb
1.sakarya
100. yil
100.yil
100.yil (abuusagi koyu)
100.yil (bostancilar koyu)
100.yil (kurtlar koyu)
101 evler
11 evler (tekin koyu)
1200 evler
13 mart
14 mayis
14 nisan
15 kasim
15 mayis
15 temmuz
15 temmuz camili
15 temmuz sehitler
150 evler
152evler
16 eylul
16 haziran
17 agustos
17 eylul
18 evler (tekin koyu)
19 mayis
19 mayisosb
2 (agilbasi koyu)
2 (bahce koyu)
2 (caltili koyu)
2 (tepekoy koyu)
2 (yuva koyu)
2 kume (agilli koyu)
2 kume (topac koyu)
2 nolu besirli
2 nolu bostanci
2 nolu erdogdu
2. inonu
2.anafartalar
2.ci kume (cardak koyu)
2.gundogan
2.kadriye
2.km (adabag koyu)
2.kume (akpinar koyu)
2.kume (alakir koyu)
2.kume (catalagzi koyu)
2.kume (cavusin koyu)
2.kume (cemalettin koyu)
2.kume (guzelsu koyu)
2.kume (saka koyu)
2.kume (seksenusagi koyu)
2.kume (uckuyu koyu)
2.kume evler (orhanli koyu)
2.mezra (bulanik koyu)
2.orucgazi
2.osb
2.sakarya
2000 evler
21 haziran
23 nisan
25 aralik
25 mart
25 mayis
26 agustos
28 evler (dariyeri yorukler koyu)
28 haziran
29 ekim
3 (caltili koyu)
3 (tepekoy koyu)
3 (yuva koyu)
3 kume (agilli koyu)
3 kume (topac koyu)
3 nolu erdogdu
"3,mezra (bulanik koyu)"
3.ci kume (cardak koyu)
3.kume (akpinar koyu)
3.kume (alakir koyu)
3.kume (cavusin koyu)
3.kume (uckuyu koyu)
30 agustos
30 agustos zafer
300 evler
31 agustos
4 (caltili koyu)
4 eylul
4 kume (agilli koyu)
4 kume (topac koyu)
4 temmuz
4.kume (akpinar koyu)
408 evler
5 nisan
5.levent
50. yil
50.yil
50.yil (kalaba beldesi)
500 evler
60 evler (tekin koyu)
60.yil
600 evler
7 eylul
7 mart
71 evler
75. yil
75. yil (karamik koyu)
75. yil osb
75.yil
75.yil  (sultandere)
75.yil cumhuriyet
8 kasim
8 mart
8 subat
82.yil
82evler
85.yil cumhuriyet
9 eylul
94allesi
a grubu (hacihasanli koyu)
a. hisar
a. pazarci
a.balaban (baskoy koyu)
a.camii
a.danisment mezra (ahmetdanisment koyu)
a.dogan yuvasi (aydinlar koyu)
a.guvec (kisikli koyu)
a.kayacik (karamik koyu)
a.olcek (degerli koyu)
a.olukbasi (akocak koyu)
a.sindoban (dalkirmaz koyu)
a.sofular (hasankahyalar koyu)
a.sogutlu (kadife koyu)
a.tepecik  (igiki) (ilisu koyu)
abaci
abaci (gumus koyu)
abaci koyu
abacik (filyos beldesi)
abacilar
abacilar (camcilar koyu)
abacilar (derekoy koyu)
abacioglu (karacaoren koyu)
abacioglu (uckoy koyu)
abadan
abak
abalakli
abalar
abalar (abalar koyu)
abalar merkez (abalar koyu)
abali
abali koyu
abalioglu (tabaklar koyu)
abanoz (bahceli koyu)
abanuz (erdogan koyu)
abas koyu
abasan (binekli koyu)
abasizoglu (bakiler koyu)
abaza (direkli koyu)
abazalar (husamettindere koyu)
abazalar (yenice koyu)
abazli
abazoglu (bolukyazi koyu)
abbas (kartaldere koyu)
abbas (makaraci koyu)
abbas (turkmenler koyu)
abbasaga
abbasgol koyu
abbashalimpasa
abbaslar
abbaslar (isakoy koyu)
abdalaga
abdalan (okcular koyu)
abdalbeyazit (uzgorur beldesi)
abdalcik
abdaldede
abdallar (delice koyu)
abdalli
abdalli koyu
abdalmezrasi
abdaloglu (abdaloglu koyu)
abdaloglu (zafer koyu)
abdi (karadonu koyu)
abdi (saraclar koyu)
abdi ipekci
abdi koyu
abdiaga koyu
abdibasoglu (taskesen koyu)
abdibeyoglu (gaziler koyu)
abdicikmaz koyu
abdigor
abdikoy koyu
abdil cavus (narincali koyu)
abdiler (kekec koyu)
abdili
abdilli koyu
abdioglu (degirmenozu koyu)
abdioglu (demircimuezzin koyu)
abdioglu (incecay koyu)
abdioglu (keslik koyu)
abdioglu cumhuriyet
abditolu
abdiusagi koyu
abdogil (doganpinar koyu)
abdoglu (cennet koyu)
abdugil (kuluncak koyu)
abdulbaki
abdulgaffar
abdulgani
abdulgil (pinarli koyu)
abdulhamid han
abdulkadir cetin (surmelikoc koyu)
abdulkadirpasa
abdullah (arica koyu)
abdullah (kozkoy koyu)
abdullah (taskin koyu)
abdullah bahce (karadere koyu)
abdullah bey (arili koyu)
abdullah efendi
abdullah pasa
abdullah sahutoglu
abdullahli (derbent koyu)
abdullahoglu (kozcugaz koyu)
abdullahpasa
abdullar (dagcukuroren koyu)
abdullar (elmacikdere koyu)
abdullu (kuskunlu koyu)
abdullu pattellasi (kuskunlu koyu)
abdullu yayca (kuskunlu koyu)
abduloglu (kocabey koyu)
abdulvehap kufrevi
abdurrahim koyu
abdurrahman gazi
abdurrahman koyu
abdurrahman nafiz gurman
abdurrahmandede
abdurrahmangazi
abdurrahmankoy
abdurrahmanlar
abdurrahmanlar mezrasi (ozici koyu)
abdurrahmanli (saraycik koyu)
abdurrahmanli koyu
abdurrezzak
abide koyu
abidehatun
abidinoglu (guneykoy koyu)
abidinoglu (hamidiye koyu)
abidinoglu (salman koyu)
abidinpasa
abimistik (cakirhuyuk beldesi)
ablak koyu
ablu (caglar koyu)
abramet  -kakrazevl (altiparmak koyu)
abroz
absak (guragac koyu)
absalan (yildizalan koyu)
abucimen
abuda (cat koyu)
abusoglu
abut (ikizciler koyu)
abut (urva koyu)
aca (duz koyu)
acamlar (curkuslar koyu)
acar
acar koyu
acara (dogancilar koyu)
acarkent koyu
acarkoy
acarlar
acarlar (hacilar koyu)
acarmantas
acaroba
